ts_utc,order_id,name,category,is_teacher,price,session_id,session_url
2025-10-13T03:02:43.612689Z,ORD-20251013-030239-750105,Tester,Education,True,9.99,cs_test_a1CGSYuOaTkRAKUNrhsXCeUjUXbmBeYDF8oAzUanzKWo46CurN6Azw3z7N,https://checkout.stripe.com/c/pay/cs_test_a1CGSYuOaTkRAKUNrhsXCeUjUXbmBeYDF8oAzUanzKWo46CurN6Azw3z7N#fidnandhYHdWcXxpYCc%2FJ2FgY2RwaXEnKSdkdWxOYHwnPyd1blpxYHZxWjA0V3JnfVBAQTRBN1RLb1xJM3VSaGR0cENVSzVsYGQzb1w3PF9iM31LTTBfdmRBUXRwYkJhR05fNXNOYUhVQGpIXGFEVndGZjJfVmxjS1NyVHxOYTFJaDJ8NTVfVXZCRzZvbScpJ2N3amhWYHdzYHcnP3F3cGApJ2dkZm5id2pwa2FGamlqdyc%2FJyZjY2NjY2MnKSdpZHxqcHFRfHVgJz8ndmxrYmlgWmxxYGgnKSdga2RnaWBVaWRmYG1qaWFgd3YnP3F3cGB4JSUl
2025-10-13T03:44:19.087629Z,ORD-20251013-034417-047624,Tester,Education,True,9.99,cs_test_a1bEygg0qoAgUpa0A14wgW8CJ1OKbXKTH7WPwyQ7otXMCbJyxkJhKM1Xnj,https://checkout.stripe.com/c/pay/cs_test_a1bEygg0qoAgUpa0A14wgW8CJ1OKbXKTH7WPwyQ7otXMCbJyxkJhKM1Xnj#fidnandhYHdWcXxpYCc%2FJ2FgY2RwaXEnKSdkdWxOYHwnPyd1blpxYHZxWjA0V3JnfVBAQTRBN1RLb1xJM3VSaGR0cENVSzVsYGQzb1w3PF9iM31LTTBfdmRBUXRwYkJhR05fNXNOYUhVQGpIXGFEVndGZjJfVmxjS1NyVHxOYTFJaDJ8NTVfVXZCRzZvbScpJ2N3amhWYHdzYHcnP3F3cGApJ2dkZm5id2pwa2FGamlqdyc%2FJyZjY2NjY2MnKSdpZHxqcHFRfHVgJz8ndmxrYmlgWmxxYGgnKSdga2RnaWBVaWRmYG1qaWFgd3YnP3F3cGB4JSUl
2025-10-13T04:29:13.834860Z,ORD-20251013-042912-228522,Tester,Education,True,9.99,cs_test_a11FC0YRafPSuy59okBVc1ggMvp8IgV6YnLpD5Xt8enU47WvsnbB96S53s,https://checkout.stripe.com/c/pay/cs_test_a11FC0YRafPSuy59okBVc1ggMvp8IgV6YnLpD5Xt8enU47WvsnbB96S53s#fidnandhYHdWcXxpYCc%2FJ2FgY2RwaXEnKSdkdWxOYHwnPyd1blpxYHZxWjA0V3JnfVBAQTRBN1RLb1xJM3VSaGR0cENVSzVsYGQzb1w3PF9iM31LTTBfdmRBUXRwYkJhR05fNXNOYUhVQGpIXGFEVndGZjJfVmxjS1NyVHxOYTFJaDJ8NTVfVXZCRzZvbScpJ2N3amhWYHdzYHcnP3F3cGApJ2dkZm5id2pwa2FGamlqdyc%2FJyZjY2NjY2MnKSdpZHxqcHFRfHVgJz8ndmxrYmlgWmxxYGgnKSdga2RnaWBVaWRmYG1qaWFgd3YnP3F3cGB4JSUl
